Unnamed: 0,rating,review,date,userName,title,quarter,year
2876,4,그 자막좀 어째 해봐요,2022-01-01 00:02:59,persona,,2022/1Q,2022
2635,3,자막이 조금 안맞음,2022-01-01 00:49:44,서상봉,,2022/1Q,2022
105,4,정말.. 다 좋은데 디즈니플러스에도 유명한 일본 애니나 지금은 종영된 한국 드라마들이 더 추가 됐으면 하는 바램입니다ㅜ 넷플릭스에 있는 게 디즈니+에 없어서 좀 아쉽긴 했어요😿,2022-01-01 01:16:47,광고주는이걸보아라,종영된 한국 드라마나 유명한 일본 애니메이션 작품들 더 추가 됐으면 해요,2022/1Q,2022
2461,5,좋은데 2% 부족함......,2022-01-01 01:54:24,INHO KIM,,2022/1Q,2022
3232,2,자막ㅡㅡ,2022-01-01 02:08:08,ssum lee,,2022/1Q,2022
536,3,"예전에 처음 설치 했을 때 가입하고 구독 없이 삭제 했는데 다시 보고 싶어서 구독하려고 이전 가입한 계정으로 들어오니 구독 한 적도 없는데 구독 안뜨고 바로 시청 가능해요. 이거 왜 이래요? 저 이때까지 모르고 있어서 아여 안 보고 있었는데 혹시 돈 나가나요? ㅠㅠ구독도 안했고 보지도 않았는데 돈 나가면 억울한데 ㅠㅠ 

+예전에 U+ 회원 3개월 무료라는 말 듣고 해 보라 해서 IPTV에서 (다른계정으로 연동된거) 따로 가입한적 있어요. 그때는 무료라고 했는데 모르겠어서 그냥 9900원으로 결제를 눌렀는데 나중에 12월 15일 이후 가입자 라는걸 알고 저는 해당 안돼서 바로 구독 취소 방법 찾아보고 디즈니 사이트에서 뭐 취소 신청? 하라길래 그날 바로 했던거로 기억하는데 이거랑 관련 있나요?  

진짜 U+에서 만든 앱도 아니고 해지는 디즈니 앱에서 하게 해 주면 될걸 쓸데없이 U+쪽에서 하게 하니 너무 어렵고 짜증나네요. U+는 U+대로 지들 요금제 가입 관련이랑 앞에서 말한 디즈니 플러스 3개월무료 해지, 본인들 부가서비스로만 가입한거 해지하는 관련만 뜨지 그거 외에 U+쪽으로 연동 없이 전에 디즈니 플러스에서 가입한걸 해지 하는 법은 아예 설명도 없고 해지도 못 하게 되어 있고 그런데 디즈니 플러스에서는 해지하려면 U+에서 해라 이러고 있고 뭐 어쩌라는겁니까 지금.. 아니면 환불에 대해서라도 자세히 알려 주던가 진짜

아무리 유플 독점이라지만 유플에서 만든 앱도 아니면서 유플.처럼 해지하려면 유플러스.. 장난하세요?",2022-01-01 03:30:24,레아 발렌타인,구독 한 적도 없는데 구독 되어 있어요.,2022/1Q,2022
663,5,개인 취향대로 볼 수 있어 좋아요,2022-01-01 06:23:22,Sliense,꿀잼,2022/1Q,2022
866,1,어플이 버벅 거리고 느려요,2022-01-01 06:46:04,qkq쿠키,속도,2022/1Q,2022
430,2,"다 좋은데 왜 베놈은 없을까요;; 베놈 보고싶른데 ㅠㅠ 그거 계기로 깐건데 없네요
그리고 자막이 너무 큽니다
배경도 나와서 더 커요",2022-01-01 07:48:08,수학 ㅈ도 못함,음,2022/1Q,2022
2861,1,디즈니 진짜 별로네요,2022-01-01 09:02:09,Kihyun Mun,,2022/1Q,2022
1497,1,로딩 오래걸려요. 안켜져서 보지를 못하는중...,2022-01-01 09:21:16,Lena P,,2022/1Q,2022
2058,1,실행이 안돼여 제발 버그좀 고쳐라 ㅠ,2022-01-01 10:30:59,Ray Charles,,2022/1Q,2022
2061,1,야잇! hdmi연결되면 안보이잖아욧!,2022-01-01 11:05:11,하남라이더,,2022/1Q,2022
717,4,좋아요 !,2022-01-01 11:08:46,군고구마아이스쿠림,속도 조절 기능 생겼으면 좋겠어요,2022/1Q,2022
347,2,제발 다음 화 넘어가기 버튼 좀 만들어주세여…그리고 15초 fast forward 반응 속도 좀 빠르게 해주시면 안되나요..ㅠㅠ,2022-01-01 11:12:04,오포더타도펴아,다음 화 넘어가기 버튼…,2022/1Q,2022
1546,5,정말 잘쓰고 있었는데 엔칸토 한국어 더빙이 사라졌네요...,2022-01-01 13:24:43,천재18,,2022/1Q,2022
