,Unnamed: 0,userName,content,score,thumbsUpCount,at,quarter,year
1725,1725,K진서,10초 넘기기하면 화면이 멈춰요 업뎃 한지 오래됫는데 왤케 오류가 많이나죠 정말 월자동결제하는데 이용하는데 불편하네요,3,0,2020-10-01 00:48:45,2020/4Q,2020
18097,18097,정종원,최고,5,0,2020-10-01 03:02:53,2020/4Q,2020
8792,8792,하핳핳,다 좋은데요 갑자기 몇시간전에만 있던 영화가 검색하고 아무리 찾아봐도 안나와요 어떻게 된거죠?,1,0,2020-10-01 03:28:41,2020/4Q,2020
2125,2125,saemi lee,애니메이션에 한국어 더빙 기본값으로 나오는 거 영어로 듣고 싶은데 에피소드마다 계속 다시 설정해야하네요. 에피도 짧아서 십분마다 설정키려니 성질이 올라와요ㅜ 제발 원어 설정한게 시즌 전체 적용되게 바꿔주세요,4,13,2020-10-01 03:54:57,2020/4Q,2020
10218,10218,박주민,마블영화 정주행중이였는데 마블영화 갑자기 거의 다내렸네요 ㅡㅡ 원래 내리기로 되있었나요?,1,0,2020-10-01 04:28:19,2020/4Q,2020
14698,14698,김규열,신작이 더 필요해요,5,0,2020-10-01 04:36:44,2020/4Q,2020
6891,6891,쿵푸팬더시푸,순위 조작이 부분별로 살쩍있는것같지만 잘애용,4,0,2020-10-01 05:05:54,2020/4Q,2020
10684,10684,심현완,아주 유익하고 만족스러워,5,0,2020-10-01 06:45:44,2020/4Q,2020
23380,23380,Its Me??,Uaug,1,0,2020-10-01 07:05:57,2020/4Q,2020
18426,18426,양동진,잼낭.,5,0,2020-10-01 09:34:42,2020/4Q,2020
1451,1451,김상오,알림 다 꺼도 백그라운드에서 자꾸 실행되는데 1분도 안되는 그 시간동안 밧데리를 1퍼센트씩 소모시킵니다 도대체 무슨짓거리를 하는지 모르겠네요... 백그라운드에서 돌아갈일이 뭐가 있나요?,1,2,2020-10-01 09:44:13,2020/4Q,2020
14297,14297,꽁지,너무 좋아요!,5,0,2020-10-01 10:20:43,2020/4Q,2020
14574,14574,솜,(말이필요없다)갓플릭스,5,0,2020-10-01 11:20:27,2020/4Q,2020
18634,18634,김태호,굿,5,0,2020-10-01 11:28:28,2020/4Q,2020
18185,18185,hyeyoung kim,최고,5,0,2020-10-01 13:19:35,2020/4Q,2020
15186,15186,슈,리뷰의견 듣지않음,1,0,2020-10-01 13:34:30,2020/4Q,2020
3737,3737,hyeon tak kim,10초 건너뛰기하면 화면은 멈춰있는데 소리만 나옴;;; 은근히 불편함,2,1,2020-10-01 14:41:35,2020/4Q,2020
18307,18307,김태용,Xxxxx,1,0,2020-10-01 15:31:09,2020/4Q,2020
2653,2653,김동준,업뎃이후 화면 정지현상 자주일어남 그냥볼때는 괜찮은데 10초뒤로 넘기거나 다시돌리면 소리만나오고 화면 멈춤 빨리 복구 시켜주세요,1,1,2020-10-01 16:37:23,2020/4Q,2020
13538,13538,그냥아는오빠,제작 규정이나 의무인건지 장르나 스토리에 어색할 정도로 불필요한 동성애를 쑤셔넣는 거 보면 역겹다,1,0,2020-10-01 17:16:39,2020/4Q,2020
18081,18081,insoo Kim,최고에요,5,0,2020-10-01 17:51:04,2020/4Q,2020
15266,15266,younhee jo,화면멈춤이 심함,1,0,2020-10-01 18:23:40,2020/4Q,2020
8953,8953,정lovelove6372,좋은앱 입니다 내용도 충실하고...,4,0,2020-10-01 19:12:14,2020/4Q,2020
2105,2105,곽주원,영상은 재생이 안되고 소리만 나옵니다. 지웠다 다시 깔았는데도 이러네요. 다른거 재생해봤을땐 정상적인데 보건교사 안은영 6화 중후반만 문제가 나타났습니다.,3,4,2020-10-01 20:56:17,2020/4Q,2020
6125,6125,서창권,디즈니영화 어제까지만해도 재밌게 보고있었는데 10월1일 되자마자 1편도 안놔두고 디즈니영화란 디즈니영화는 싹 다 없애버리셨네요ㅜㅇㅠ 계약기간이 있는건 알겠는데 갑자기 싹 다 없앤건 너무해요,2,2,2020-10-01 21:18:32,2020/4Q,2020
13113,13113,변현석 헬스알려주는남자,재밌는게 많아요,5,0,2020-10-01 22:53:58,2020/4Q,2020
4458,4458,진성은,영상 2배속 재생을 제공했으면 좋겠습니다 1.5배 속은 있는데 왜 2배속은 없나요?,3,0,2020-10-01 23:52:05,2020/4Q,2020
18068,18068,리켈,"한니발 도로 추가해줬으면 좋겠네ㅠㅠ Guys come on, put Hannibal back or at least tell me the exact reason why the show was deleted ;-;",5,0,2020-10-02 00:26:39,2020/4Q,2020
5898,5898,학이학학,"갑자기 어벤져스시리즈하고 토르 라그나로크 천둥의 신, 아이언맨 그 밖에 뮬란등의 디즈니 영화가 갑자기 사라졌어요 즐겨보고 인기있는 영화들이 갑자기 사라지니 당황스럽네요..",2,1,2020-10-02 00:40:08,2020/4Q,2020
12737,12737,romale,저장해놨는데 문제 있다고 안 열림..,1,0,2020-10-02 00:58:33,2020/4Q,2020
7074,7074,4,영상재생에 문제가 있습니다 뜨는데 이거좀 고쳐라 재발,1,1,2020-10-02 02:02:13,2020/4Q,2020
2329,2329,동석,음 다 좋아요 다 좋은데 프리미엄인데 데이터로 하면 왜 화질이 좋게 나오지 않는 건가요? 그리고 안그러다가 갑자기 다음화를 누르면 다음 회차가 나와야하는데 랜덤으로 틀어지고 회차정보를 누르면 회차가 거꾸로 되어있어서 상당히 불편하네요 고쳐주세요...,1,18,2020-10-02 05:17:58,2020/4Q,2020
18434,18434,김모아,최고입니다,5,0,2020-10-02 08:45:49,2020/4Q,2020
5767,5767,이승원,1주일 전부터 자막은 나오는데 계속 화면이 검은색으로만 나옵니다 돈 주고 샀는데 지금 못 보고 있습니다 빨리 고쳐주세요,1,1,2020-10-02 09:27:40,2020/4Q,2020
18090,18090,Young 1,좋네요,4,0,2020-10-02 09:31:42,2020/4Q,2020
10810,10810,선아,폰으로 하니까 오류어쩌구하면서 못보네요 별로ㅔ요,1,0,2020-10-02 10:23:33,2020/4Q,2020
14883,14883,신현종,너무좋아요,5,0,2020-10-02 11:02:10,2020/4Q,2020
12135,12135,배동인,"무한로딩중,,,이거빨리고쳐주시죠",1,0,2020-10-02 13:41:06,2020/4Q,2020
14217,14217,이동준,영화전부 나오게해주세요 뱀파이어와의인터뷰는필수로,4,0,2020-10-02 14:04:16,2020/4Q,2020
6159,6159,김힛,없는게 좀 많네요..미국버전에선 해리포터가 있는데 한국버전에는 없네요..^^,3,0,2020-10-02 14:19:51,2020/4Q,2020
18441,18441,Seung,편리함,4,0,2020-10-02 14:42:50,2020/4Q,2020
13120,13120,베이컨,다 좋은데여 애니는 무삭제로내주세요,4,0,2020-10-02 15:24:07,2020/4Q,2020
7027,7027,0 0,업데이트와 무관하게 가끔 접속이 안돼요,1,0,2020-10-02 15:39:31,2020/4Q,2020
354,354,이정원,"진짜 검은 화면 뜨고 소리만 또는 소리, 자막만 나오는거 한두번도 아니고 10번 20번 넘게 반복되니까 너무 짜증나고요 처음엔 제 폰이 문제인줄 알았는데 다른 리뷰 보니까 제 폰이 문제 인 것 같진 않네요. 처음엔 다시하면 되지 하면서 계속 넘어갔는데 이제 나왔다 다시 들어가도 안나오고 핸드폰 던지고 싶을 만큼 짜증납니다. 지금도 너무 화나서 이렇게 리뷰 쓰러 왔고 원래 리뷰 같은거 상품 줘도 안쓰는데 이건 써야겠네요. 정말 너무너무 화나고 검은 화면 뜨는거 빨리 수정해 주시던가 공지를 해주시던가 하면 좋겠네요. 별점 1점 주기도 아까워서 미치겠어요.",1,62,2020-10-02 17:08:26,2020/4Q,2020
