,Unnamed: 0,userName,content,score,thumbsUpCount,at,quarter,year
13359,13359,김효일,설치가 안되서 슬픔,1,0,2021-10-01 02:08:29,2021/4Q,2021
5454,5454,오철학,"비밀번호 재설정시 계속 오류나네요~ 지우고 다시 설치해도 똑같음,,, 어떻게 해야 되나요?",1,5,2021-10-01 04:15:37,2021/4Q,2021
17104,17104,이정아,좋아요,5,0,2021-10-01 08:18:39,2021/4Q,2021
5433,5433,아랑,애니 볼때마다 고어 부분 나오면 모자이크 처리 하는데 이럴거면 돈 주고 보는 의미가 없는데요.. 왜 모자이크 하는건지 잘 모르겠네요,1,0,2021-10-01 09:39:30,2021/4Q,2021
14701,14701,buttercm an,ㅜㅛ 6쾌한 65ㅠ6ㅜㅡㅜㅡㅜ만 5,4,0,2021-10-01 10:55:12,2021/4Q,2021
8202,8202,후추부추,화면 잠금하면 풀기가 안됨 개빡침,4,1,2021-10-01 13:50:27,2021/4Q,2021
15125,15125,J J,접속 안 됨 왜이럼?,1,0,2021-10-01 14:15:45,2021/4Q,2021
23391,23391,남자김종육,좋아하,5,0,2021-10-01 14:20:49,2021/4Q,2021
17076,17076,이미진,잼나요~,5,0,2021-10-01 16:59:41,2021/4Q,2021
11986,11986,닉네임,자꾸 맴버십에 가입 하라고 합니다. 지금 로그인 하려는데 멤버십 창밖에 안 뜹니다.,1,2,2021-10-01 18:40:02,2021/4Q,2021
17073,17073,박선애,좋아요,5,0,2021-10-01 18:41:03,2021/4Q,2021
2812,2812,ᄀᄆ,ㅋㅋ자꾸 이 동영상은 바로보기 못하니까 딴동영상 틀라하고 다른 영상틀어도 그 난리고 업뎃필요하면 업뎃창을 띄워주시고 해결법이 재설치면 고지좀 해주세요,2,2,2021-10-01 20:53:31,2021/4Q,2021
10872,10872,마구바,아니 ㄹㅇ로 볼께 없어 아니 이거볼빠엔 무료 만화같은거 보는게 남 아니 돈내고샀는데 무료인것보다 못하냐,2,2,2021-10-01 22:22:18,2021/4Q,2021
8208,8208,홍성범,갤럭시 탭 S7 HDR 지원안됨 하위기종도 되는데 그냥 신경안쓰는거 같음 고객센터 문의 넣고 개선 요구했으나 언제 될지 안될지도 모름,1,6,2021-10-02 00:50:06,2021/4Q,2021
10987,10987,한지훈,개좋아요 이런 앱이 있구나 싶네요,5,0,2021-10-02 01:53:13,2021/4Q,2021
16176,16176,Google 사용자,설치가안되요,1,0,2021-10-02 05:40:16,2021/4Q,2021
9837,9837,최앨리,"화질,기능 최고예요~~^^",5,0,2021-10-02 08:11:43,2021/4Q,2021
13514,13514,원도식,장르가 너무다양하네요!,5,0,2021-10-02 08:37:07,2021/4Q,2021
14193,14193,박동규,고객센터는 머 폼인가 ??전화하면 폭주로 온나인 이용하라하고 넷플릭스 는 실행도 안되고 먹튀하는건가??전화를 받던가 답을주던가 머야이거 욕 이빠이 나오네,1,0,2021-10-02 10:02:10,2021/4Q,2021
17091,17091,nimonicaa nimonicaa,잼ㅆ이,5,0,2021-10-02 10:11:07,2021/4Q,2021
11546,11546,이윤범,넷플릭스? 별 한개 이유는 니들이 잘 알거야!!,1,0,2021-10-02 10:11:25,2021/4Q,2021
15525,15525,레이첼,넷플릭스에 비번 어떻게 거나요ㅠㅠ,5,0,2021-10-02 12:28:37,2021/4Q,2021
16169,16169,김주원,굿 넘처나요 영화 오락,5,0,2021-10-02 13:35:04,2021/4Q,2021
12794,12794,sang-ho lee,실행이 안되는 레후후www,1,0,2021-10-02 13:57:32,2021/4Q,2021
