,Unnamed: 0,userName,content,score,thumbsUpCount,at,quarter,year
15574,15574,집인데집가고 싶다,동시자막 원해요,5,0,2021-07-01 00:51:18,2021/3Q,2021
11304,11304,이재준,자막 관련 국가 지정할 수 있도록 좀 해주세요,3,0,2021-07-01 03:18:15,2021/3Q,2021
6535,6535,트위티,다음 달에 없어지는 작품들 모아 놓는 페이지가 있었으면 좋겠어요!,5,2,2021-07-01 11:19:03,2021/3Q,2021
2350,2350,딴아가,화질이 다른 앱보다 좀..떨어지는 면이 있어요 그리고 배우 양양님 나오는 중국 드라마나 영화도 많이 나왔으면 좋겠어요 !!! 넷플릭스 언제나 좋은 서비스를 위해주셔서 감사합니다 화이티잉!!!,5,1,2021-07-01 13:25:19,2021/3Q,2021
3306,3306,이현우,5.7재생 안됨 앱도 다시 설치하고 삼성폰인데 리셋했는데 다운받은 동영상을 볼수 없었음 고객센터 같은말만 말만 반복 탈퇴 해야겠음,1,0,2021-07-01 14:38:14,2021/3Q,2021
12291,12291,김진재,오류 501.-109 이거 뭔가요? 넷플릭스 보고 싶어요!,1,0,2021-07-01 14:51:25,2021/3Q,2021
15813,15813,오윤근,"조아요,너무너무",5,0,2021-07-01 17:27:26,2021/3Q,2021
6774,6774,감튀,...어제 보다가 만 도라에몽 버스오브 재팬 이라는 만화영화를 보고있다가 그만보고 오늘보려했는데 넷플릭스에서 없어졌네요..? 대체 뭔상황이죠? 이 외에도 보던게 없어졌던적이 꽤 있습니다...,3,0,2021-07-01 19:04:30,2021/3Q,2021
10254,10254,프리스캇,Z플립 유저에요 무한 로딩 입니다 해지할까 고민중...,1,0,2021-07-01 19:15:25,2021/3Q,2021
15165,15165,이지우,코난이랑 해리포터가 없네요ㅠ,1,0,2021-07-01 19:31:31,2021/3Q,2021
8832,8832,ᄋᄋ,다운은 했는데 앱이 안열리네요 무슨 오류 뜹니다 지금 재설치3번째인데 이래요,1,0,2021-07-01 20:46:59,2021/3Q,2021
6352,6352,김영민,넷플이 홈에서 아예안들어가져요 지웠다가 깔아도 계속안돼요,1,0,2021-07-01 20:49:39,2021/3Q,2021
13581,13581,고민우,그냥 좋아요 아주최고에요^^,5,0,2021-07-01 23:05:01,2021/3Q,2021
8834,8834,오진희,뭐하는겁니까 돈은돈대로받아먹고 영상은 로딩만걸리고 뭡니까진짜 제트플립은 쓰지말라는것도아니고,1,0,2021-07-02 02:43:35,2021/3Q,2021
3674,3674,BRAD JUNG,계속 화면 버퍼링에 소리만 나오네요...이 정도 쓰레기앱이면 스토어에 올리질마셨어야죠~!!,1,0,2021-07-02 06:56:16,2021/3Q,2021
4547,4547,오가비,제트플립 사용자입니다 저만 안되는게 아니였군요 무료서비스도 아닌데 빠른 개선 부탁합니다,1,0,2021-07-02 08:47:26,2021/3Q,2021
12804,12804,nigel Kim,매번오류 ㅠㅠ 정말 싫다,1,0,2021-07-02 13:39:16,2021/3Q,2021
22941,22941,온도,그냥 좋은데,5,0,2021-07-02 14:08:55,2021/3Q,2021
23376,23376,정시환 2,나이스,5,0,2021-07-02 17:52:22,2021/3Q,2021
