,Unnamed: 0,userName,content,score,thumbsUpCount,at,quarter,year
7783,7783,정진용진용,아이디와 비번이 맞는데 계속 틀렸다 뜨네요,1,0,2022-01-01 01:41:20,2022/1Q,2022
15072,15072,토니존,귀멸의 칼날 2기 보고싶어요ㅜㅜ,3,0,2022-01-01 01:50:22,2022/1Q,2022
16839,16839,이종국,좋아요,5,0,2022-01-01 05:32:56,2022/1Q,2022
13697,13697,조은강,앱을 어떻게 관리하면 1분에 한번씩 끊기냐,1,0,2022-01-01 05:53:46,2022/1Q,2022
16800,16800,유정환,잘사용합니다,5,0,2022-01-01 06:01:56,2022/1Q,2022
16801,16801,Pieri Arexsandro,비싸,1,1,2022-01-01 09:53:27,2022/1Q,2022
13596,13596,알약,아 진짜 19세 미만은 19세 영화들만 막아두면 돼잖아 왜 가입을 막냐고 ----수정 이제 성인도 됐는데 왜 가입을 막냐?,1,0,2022-01-01 10:31:07,2022/1Q,2022
3972,3972,파트라슈,노트4에서 로그인이 안되요 계속 구글계정으로 로그인하라는 메세지뜨고 계속 클릭하면 화면이 사라져요,1,1,2022-01-01 11:44:09,2022/1Q,2022
4559,4559,도너츠,최신영화나 드라마는 없어요!여기는 보고싶은 옛날 영화 보시면 되구 가끔 최신꺼 나와요!,5,0,2022-01-01 15:02:32,2022/1Q,2022
23113,23113,언더테이커,굿,5,0,2022-01-01 15:21:37,2022/1Q,2022
17097,17097,남궁영기,굿,5,0,2022-01-01 16:05:44,2022/1Q,2022
1446,1446,미르오브블랙,"넷플릭스를 정말 좋아하게 된건 3일전부터 이다 그 전부터 사용은 하고 있었지만, 3일전 우연하게 소리를 다 줄여야하는 상황이 생겨 음량볼륨이 0이 되는순간 자막으로 한국 드라마인데도 소리번역과 자막이 나오는걸 보고 아!! 청각장애우 분들을 위해 이런 몰랐던 시스템도 구현해 놓았구나 생각이드니 넷플릭스가 나에겐 한층더 고급서비스로 자리잡고 말았다 인지도 그것은 막강한 영향력으로 지리매김 할것이다",5,52,2022-01-01 16:42:25,2022/1Q,2022
11665,11665,왕대현,좋은 콘텐츠가 많이 있어서 괜찮네요,5,0,2022-01-01 16:58:23,2022/1Q,2022
9420,9420,기사,가입하면서 결재했는데 왜 또 결재창으로 넘아가지?? 돈은 빠져나갔는데ㅋㅋㅋㅋ????,1,0,2022-01-01 21:42:29,2022/1Q,2022
14433,14433,염형출,정보을 알아야겠습니다,4,0,2022-01-01 22:53:11,2022/1Q,2022
1401,1401,흥볼,확실이 넷플릭스좋습니다. 다만 드라마가 본방시작후 2시간이후에 넷플릭스에서 방영된다는 점이 몸 아쉽습니다. 그냥 실시간으로 볼수있으면 더욱더 좋을거같은데 말이에요 그 점만 알아두면 모든 면에서 좋급니다.,5,34,2022-01-01 22:54:37,2022/1Q,2022
6592,6592,진한솔,엔딩 크레딧 나올 때 다른 작품 미리보기 자동재생 때문에 영화 보고 여운을 느끼지를 못하겠네요 진짜로 징글징글하네,1,3,2022-01-01 23:17:26,2022/1Q,2022
15878,15878,Mr. gae,잠좀 잡시다..,5,0,2022-01-02 06:41:23,2022/1Q,2022
10555,10555,김준철,완전 중독성 강한 빠져듦,5,0,2022-01-02 11:20:45,2022/1Q,2022
16819,16819,이정득,좋아요,5,0,2022-01-02 14:19:50,2022/1Q,2022
13958,13958,김성집,넷플릭스 어플이 안켜지네요?,1,0,2022-01-02 14:28:00,2022/1Q,2022
16809,16809,신도희,굳,5,0,2022-01-02 15:35:57,2022/1Q,2022
1370,1370,최무승,넷플릭스를 모바일 기기로 이용할 수 있어 매우 유용합니다. 하지만 결제부터 프로필 잠금 등의 부가 설정 기능까지 많은 부분에 PC를 통해서만 접근할 수 있다는 것이 아쉽습니다. 이 점 개선 바랍니다.,4,15,2022-01-02 18:29:44,2022/1Q,2022
11490,11490,김현지,지웠다가 다시했는데 안들어가져요..;;;,2,0,2022-01-02 20:20:40,2022/1Q,2022
12105,12105,키쿡키쿡,앱 자체는좋은데 돈을내야하네요...,2,0,2022-01-02 20:23:03,2022/1Q,2022
11198,11198,장난 꾸러기,영화도 다양하고 좋음,5,0,2022-01-02 22:14:23,2022/1Q,2022
16838,16838,김경미,좋아요,5,0,2022-01-02 22:44:36,2022/1Q,2022
10463,10463,김영우,넷플릭스가 처음화면에서 벗어나지지를 않네요,1,2,2022-01-03 00:12:20,2022/1Q,2022
13449,13449,감자의하루,가격 올릴거면 900원으로 떨어지게 해주세요 더모아 카드 혜택이라도 좀 빡세게 받아봅시다,5,79,2022-01-03 12:57:54,2022/1Q,2022
16220,16220,ssoo,WideVine L3으로 뜸,4,0,2022-01-03 14:25:16,2022/1Q,2022
17063,17063,신난다,잼나,5,0,2022-01-03 16:40:39,2022/1Q,2022
15626,15626,SeungHye Kim,앱시작이아예안되요,1,0,2022-01-03 19:20:20,2022/1Q,2022
5046,5046,sj han,화질을 마음대로 조절할 수 있는 옵션이 생겼으면 좋겠습니다,5,0,2022-01-03 19:51:04,2022/1Q,2022
2435,2435,까닛,"넷플릭스 덕분에 보고싶은 영화,드라마,애니 보게 돼서 정말 좋았어요!! 근데 공룡의 대한 것도 추가하셨으면 좋겠습니다 공룡에 관심이 있어서 넷플에 있는 공룡은 거의 다 봤거든요 뭐... 옛날 추억이면 공룡킹 어드벤처나 점박이? 같은걸 추가하셨으면 좋겠어요 그래도 넷플릭스 덕분에 보고싶은 영화들도 보고 너무 재미있습니다 ❤",5,38,2022-01-03 20:07:58,2022/1Q,2022
17064,17064,김대국,굿뜨~~~~~,5,0,2022-01-03 20:53:36,2022/1Q,2022
15964,15964,Jae-gahc Yun,너.무.좋.아.요,5,0,2022-01-03 21:21:43,2022/1Q,2022
1620,1620,지희,"넷플릭스만큼 좋은게 없긴 한데 애니메이션 쪽에선 많이 부족쓰..;제발 애니 많이 넣어주세요. 애니때문에 가입했는데 왓챠로 갈아타고싶은 이 기분은 뭘까요. 문호 스트레이독 그거는 왜 또 3기밖에 없는 거며.. 실종된 1,2기는 어디에..?",4,2,2022-01-03 21:25:58,2022/1Q,2022
14117,14117,김명순,이메일 주소를 모르는데 어케 해요!,1,0,2022-01-04 08:09:26,2022/1Q,2022
13910,13910,솔로솔로,PIP가 잘 안되네요,3,0,2022-01-04 13:40:48,2022/1Q,2022
