,Unnamed: 0,userName,content,score,thumbsUpCount,at,quarter,year
1340,1340,Google 사용자,업데이트 후 자막이 핸드폰 글꼴에 맞춰지고 크기가 작아져 자막을 읽는데 너무 불편합니다. 예전 자막이 좋았는데... 변경 좀 해주세요. 아니면 자막설정 기능을 추가해주세요.,3,4,2019-10-01 01:03:38,2019/4Q,2019
2937,2937,Google 사용자,영상 재생이 안되요 재생이. 소리만 나오고 화면이 안나와요 도대체 왜요? 스트리밍도 이러고 저장하고 재생해도 이러고...,1,1,2019-10-01 10:45:08,2019/4Q,2019
19222,19222,Google 사용자,뭐 ㅁ,4,0,2019-10-01 13:33:40,2019/4Q,2019
19226,19226,Google 사용자,좋아요,5,0,2019-10-01 14:13:55,2019/4Q,2019
19221,19221,Google 사용자,최고 !!,5,0,2019-10-01 15:01:38,2019/4Q,2019
2478,2478,Google 사용자,컨텐츠 시즌 업데이트가 너무 느림... 해외에서도 시즌 업데이트가 안된거면 모르겠는데 한국만 안나오고 있는 프로그램들이 많아서 이제 기다리다 지쳐 짜증나네요.,3,0,2019-10-01 15:21:57,2019/4Q,2019
9167,9167,Google 사용자,로그인이 죄지 않고 있습니다 빠른 조치 부탁드립니다,3,0,2019-10-01 15:23:27,2019/4Q,2019
3731,3731,Google 사용자,잘 시용하던 넷플릭스가 폰(삼성)업그레이드후 엡이 작동을 못해요. (500-1019) 조속히 해결해주세요.,1,1,2019-10-01 17:03:35,2019/4Q,2019
19435,19435,Google 사용자,짱,5,0,2019-10-01 20:17:26,2019/4Q,2019
13818,13818,Google 사용자,3개월 무료시청해서 미안해서요,4,0,2019-10-01 22:47:07,2019/4Q,2019
3040,3040,Google 사용자,갑자기 중단되서 다시 들어갔는데 데이터 와이파이 다 되는데도 처음 시작할때 넷플릭스 로고가 뜬채로 멈춥니다.. 돈주고 보는건데 이런식 너무한거 아닙니까?,1,0,2019-10-01 23:36:56,2019/4Q,2019
417,417,Google 사용자,2명볼수있는가격으로 보는데요 이거 화질이 왜이런가요 영화보는데 이건 그래픽이깨져서 도저히 볼수없는정도네요 폰으로 보는데도 이러면 컴 화질이 어떨지 예상되네요 그럴거면 무조건 전체화면이 아니라 작은화면으로라도 보는게 나은데 넷플릭스는 전체화면으로만 재생되니 그것도 너무 불편합니다 갑자기 한글로 안뜨고 영어로 왜바뀐거죠? 지멋대로네요?,1,5,2019-10-02 04:13:58,2019/4Q,2019
7024,7024,Google 사용자,보기 좋으나 다운로드시 속도가 제대로 안나오네요,4,0,2019-10-02 07:57:54,2019/4Q,2019
19207,19207,Google 사용자,좋다!no more talk,4,0,2019-10-02 13:04:45,2019/4Q,2019
16285,16285,Google 사용자,좋아요~^^,5,0,2019-10-02 13:16:48,2019/4Q,2019
3873,3873,Google 사용자,영화 재생도중 일시정지했다가 다시 재생하려 하면 재생이 안됨 그리고 영화다운받으면 자막이 잘 안깔리는것 같음,2,4,2019-10-02 19:47:39,2019/4Q,2019
19211,19211,Google 사용자,굳,5,0,2019-10-02 21:26:53,2019/4Q,2019
979,979,Google 사용자,시리즈 추가가 너무느립니다. 메뉴가 너무 산만합니다. 종류별로 깔끔하게 분류해서 찾아보기 편하게 개선되길 기대해봅니다.,4,0,2019-10-02 22:45:15,2019/4Q,2019
6841,6841,Google 사용자,"제가...빅뱅이론을 아주 재미있게 보고있었는데요... 갑자기 시즌 2,3,4가 사라졌어요... 이게 어떻게 된 일인가요? ㅠㅠㅠ",5,0,2019-10-03 00:24:25,2019/4Q,2019
3403,3403,Google 사용자,씹병 ㅡ신 같은 어플 s9 사용중인데 재생누르면 몇초있다가 화면 멈추고 소리랑 자막만나옴 다운받아서 봐도 마찬가지.(다운로드 존 33나느림 ),1,2,2019-10-03 02:33:56,2019/4Q,2019
9516,9516,Google 사용자,동생이랑 같이 볼려고 결제했는데 로그인 애러가 나서 돈은 돈대로 날리고 로그인은 로그인대로 안돼요.,1,0,2019-10-03 13:15:41,2019/4Q,2019
4558,4558,Google 사용자,연령인증이 안된다고요 로그인 되있는데 연령인증하기 누르면 다시 로그인 하라해서 아이디 비밀번호 맞게 입력했는데도 로그인도안되고 뭐하자는건데요,1,1,2019-10-03 14:30:40,2019/4Q,2019
10803,10803,Google 사용자,갤s6엣지 사용자인데 왜접속 안될까요? 지웠다깔아도 안됨,1,1,2019-10-03 14:35:16,2019/4Q,2019
4123,4123,Google 사용자,잘보고 있는데 요즘 갑자기 넷플릭스 앱 실행이 안되네요. 다시 깔아도 마찬가지던데 뭐가 문제인걸까요?,4,0,2019-10-03 16:34:13,2019/4Q,2019
9200,9200,Google 사용자,카드번호 맞는데도 잘못입력했다고 넘어가질않아요,1,0,2019-10-03 17:25:08,2019/4Q,2019
