,Unnamed: 0,userName,content,score,thumbsUpCount,at,quarter,year
15591,15591,BUM-SOO CHANG,나만 안되는게아니구나,1,0,2021-04-01 01:16:54,2021/2Q,2021
13736,13736,sa dd,접속오류 빨리 해결하세요 내돈내고 이게 뭡니까?,1,1,2021-04-01 01:55:07,2021/2Q,2021
7848,7848,비베이,애니랑 영화 자주 보는데요 자막 작업하는 사람 제발 어떻게 좀 해주세요 자막을 왜 그렇게 써요? 그리고 왜 이틀째 재생이 안 되는지 설명 좀 해주세요 제 돈 내고 보는데 보고 싶을 때 못 보는 게 정말 화나네요,1,0,2021-04-01 11:44:06,2021/2Q,2021
1442,1442,Mijeong Jee,최근에 핸드폰 어플로 보면 소리만 나오거나 영상이 끊기는 현상이 많습니다. 여러번 삭제했다가 다시 깔아도 안되고 많이 불편하네요.,1,3,2021-04-01 12:27:42,2021/2Q,2021
9389,9389,S-Jin Pak,화면커지면 화면 안나오고 축소하면 자막이 안나오네요,1,0,2021-04-01 12:56:47,2021/2Q,2021
12816,12816,윤예림,이러니까 왓챠로 갈아타지 오류 때문에 보지도 못하고,1,0,2021-04-01 14:26:26,2021/2Q,2021
12272,12272,목이,와 짱짱맨 넥서스 1세대도 이제 지원됨,5,0,2021-04-01 14:56:05,2021/2Q,2021
4593,4593,쭈야,요즘들어 자꾸 화면이 멈추고 오류가 납니다...빠른업뎃부탁드려요ㅠㅠ,1,0,2021-04-01 15:15:36,2021/2Q,2021
8725,8725,Mi Sook Jo,와~~~돈이 아까운 앱은 첨이네 들어가면 핸폰 먹통 되서 재부팅해야 되고 이건 뭐 돈만 먹는 먹튀구나 이참에 왓챠로 갈아탑니다.,1,1,2021-04-01 16:27:26,2021/2Q,2021
2358,2358,조동욱,"별 하나 주기도 아까움 ㅋ 앱 실행하면 로그인 이후 다음 화면(예 : 영상 컨텐츠)이 나와야 하는데, 재시도 화면만 나오니 어쩌라는건지? 조치 빨리 취하시던지, 답변 빨리 달고 응대를 원활히 해야하는게 서비스 아님?ㅋ",1,31,2021-04-01 16:31:23,2021/2Q,2021
6142,6142,강한솔,몇일동안 연결 할 수 없다라는 문구와 재시도 문구만 보고 있습니다. 오류로 인한 서버 문제면 공지라도 띄어주세요 아무것도 하지 않고 계속 기다리며 돈만 빼가지 말아주시고 일해주세요 아니면 환불을 해주시던지요....,1,10,2021-04-01 17:14:18,2021/2Q,2021
