,Unnamed: 0,userName,content,score,thumbsUpCount,at,quarter,year
3288,3288,너굴맨,결제하기 전에 넷플릭스에는 어떤 컨텐츠가 있는지 알 수 있으면 좋겠다!!! 왓챠플레이는 그게 가능한데 왜 넷플릭스는 안되냐!!!,2,2,2020-07-01 00:42:03,2020/3Q,2020
381,381,Moana Motunui,소리는 계속 진행되는데 영상 장면이 멈춘 상태로 움직이질 않네요 껏다 켜도 몇번이고 영상이 렉이 걸려서 멈춰버립니다. 소리는 계속 나오고요 업그레이드 할 때 참고 부탁드려요,1,2,2020-07-01 00:59:13,2020/3Q,2020
8549,8549,준혁,프리미엄 화질로 결제했는데 왜 화질이 구리게 나오는지 이유좀요..,1,0,2020-07-01 03:58:12,2020/3Q,2020
10322,10322,잉앵웅,2일전부터 계속 1023오류뜹니다 재설치해도안되고 제돈돌려주세요,1,0,2020-07-01 15:15:30,2020/3Q,2020
12085,12085,김제민,한글설정 어떻게하나요...왜영어만,1,0,2020-07-01 16:54:13,2020/3Q,2020
18464,18464,Jongho Jeon,Good,5,0,2020-07-01 17:49:50,2020/3Q,2020
3841,3841,조하,이틀 전부터 접속 자체가 안됩니다. 빠르게 확인 부탁드립니다.,1,1,2020-07-01 19:32:02,2020/3Q,2020
18622,18622,이지훈,오늘🔊,2,0,2020-07-01 20:18:03,2020/3Q,2020
18853,18853,정희원,좋아요,5,0,2020-07-01 20:48:20,2020/3Q,2020
4413,4413,하나남,핸드폰으로 되다가 넷플릭스계정바뀌고나서 부터 넷플릭스 켜면 앱이 자동으로 나가져요..,1,2,2020-07-01 20:52:39,2020/3Q,2020
12684,12684,강종수,1.25배 재생 하게 해주세요 좀 아쉽네요,3,0,2020-07-01 21:18:07,2020/3Q,2020
6099,6099,박수빈,다 좋은데요ㅠㅠㅠ 제가 거의 매일 챙겨보고 있던 라따뚜이가 갑자기 사라졌는데 이거 왜이러는 건가요? 언제 다시 올라오나요..?,3,2,2020-07-01 21:30:44,2020/3Q,2020
15812,15812,박정숙,가입하기가어렵다,1,0,2020-07-01 21:56:56,2020/3Q,2020
18463,18463,강소연,안들어가집니다,1,0,2020-07-01 22:18:41,2020/3Q,2020
19009,19009,Yoo.티와이즈,😊,5,0,2020-07-01 22:19:34,2020/3Q,2020
10830,10830,이정혁,아니 저만 그래요?? 이메일이랑 다 맞게 적었는데 왜 안돼요?? 혹시나해서 훈수 둘까봐 적음 비번이랑 다 맞게 함,1,0,2020-07-01 23:16:17,2020/3Q,2020
12477,12477,yoon p,왜 돈받을땐 멀쩡하다가 누르기만하면 종료인지,1,1,2020-07-01 23:45:02,2020/3Q,2020
4046,4046,사랑이네TV,앱이 영상이 이틀동안 재생이 안되서 삭제했다가 다시 깔았는대 이젠 아예 들어가지지도않네요 결제도햇는대 내이틀 돌려주쇼,1,2,2020-07-02 00:02:41,2020/3Q,2020
3940,3940,호범,최근 업데이트로 콘텐츠 화면의 디자인이 너무 구리고 불편해졌어요... 이전 게 더 나은 듯...,1,0,2020-07-02 02:33:20,2020/3Q,2020
1298,1298,김한성,요즘 서버가 이상한것 같아요 방금도 들어가면 오류가 났다고 나가지고 영상보면 잘 보다가도 오류났다고 계속 나가져요.. 어플 업데이트 안했나 하고 확인하면 최신이라고 뜨고 혹여나 다시 깔아도 자꾸 오류가 납니다ㅜㅜ,1,2,2020-07-02 02:59:14,2020/3Q,2020
5474,5474,캠핑여행,어플 자동 종료. 재부팅해도 안됨. 어플 신규로 설치 안됨,1,0,2020-07-02 08:52:10,2020/3Q,2020
14158,14158,장학수,앱 다운로드가 안되요 ㅠㅠ,1,0,2020-07-02 09:17:02,2020/3Q,2020
8881,8881,김보라,티비로 넷플릭스 시청이 가능한데..5세 자녀가 자꾸 눌러서 보고있습니다.매번 로그인 로그아웃 하긴 번거롭고 그냥 두기엔 아기들 접속이 너무 쉬워서 넷플릭스 접속전 자녀 시청제한 차 비번을 눌러야 제 프로필 화면으로 들어가는 그런조치가 따로 없을까요?,3,14,2020-07-02 09:26:56,2020/3Q,2020
3341,3341,원영희,사용권을 결재한 뒤에 시청하려고 다시 들어갔더니 앱이 바로 꺼지네요. 같은 현상이 계속되고 있습니다;;,1,2,2020-07-02 11:56:54,2020/3Q,2020
5321,5321,P JH,돈내고 앱이 실행조차 되지않음..결제는 잘되지만 그 외 아무것도 실행이 안되는 날강도식 마켓팅??환불이나 빨리 했으면..^^,1,0,2020-07-02 12:41:25,2020/3Q,2020
1502,1502,마카,결제하고나니 앱 자체가 그냥 꺼집니다. 폰을 종료하고 다시켜서 앱 들어가도 들어가자말자 앱이 꺼지구요. 업데이트도 했는데 넷플 앱 키면 계속 바로 꺼져요.,1,9,2020-07-02 14:44:10,2020/3Q,2020
4673,4673,Ji woo,디바이스에 오류가발생했다고 계속 재시작해달라고만하고 꺼지네요...,1,1,2020-07-02 15:04:06,2020/3Q,2020
6391,6391,남권오준,결제후 잘사용 중이였는데요 이번달 결제뒤 앱실행하면 자꾸 앱이 닫힙니다 해결바랍니다,2,0,2020-07-02 15:32:50,2020/3Q,2020
10479,10479,호롤롤롬,모바일도 웹상처럼 이중자막 가능하게 해주세요.....,5,0,2020-07-02 16:10:03,2020/3Q,2020
5842,5842,원유진,뭘해도 튕김. 자동결제인데 지금 왜 몇일째 접속 안되고 튕기나요ㅋㅋㅋㅋ 저만 그런거 아닌것 같은데ㅋㅋㅋㅋㅋ 돈아깝게 한달동안 튕겨서 못보고있네요,1,2,2020-07-02 16:37:04,2020/3Q,2020
212,212,누봉꼬마,필요할때마다 한달씩만 결제하는데 오늘 멤버십 재시작했는데 갑자기 꺼지더니 다시눌러도 강제종료 계속되서 삭제후 다시 깔아서 봤네요..비번도 바꾼적없는데 안되서 다시 설정하고; 저번에볼때 오프닝자동건너뛰기가 있었던거 같은데 안되네요..(모바일) 글고 제발 화면에서 음량도 조절 가능하게 해주세요..너무 불편합니다,3,117,2020-07-02 18:29:15,2020/3Q,2020
10073,10073,박소현,왜 접속이안되죠? 삭제했다가 깔아도 안됩니다,1,0,2020-07-02 18:34:46,2020/3Q,2020
4339,4339,박혜란,앱에 들어가면 자동으로 앱이 꺼져요 왜이러는건가요... 로그인하고 결제햇는데 왜 꺼져요??-- 먹튀예요?,3,3,2020-07-02 20:28:38,2020/3Q,2020
